,Date,Mkt-RF,SMB,HML,RF
0,1926-10-01,0.5461538461538462,-0.3692307692307693,0.08769230769230771,0.05846153846153846
1,1927-01-01,0.12142857142857144,-0.029999999999999975,-0.0050000000000000044,0.0752142857142857
2,1927-04-01,0.3491666666666666,-0.039166666666666676,0.26333333333333336,0.06666666666666667
3,1927-07-01,0.3353846153846154,0.2030769230769231,0.4461538461538461,0.06769230769230769
4,1927-10-01,0.9523076923076922,-0.5507692307692308,-0.45461538461538464,0.06607692307692307
5,1928-01-01,0.3271428571428571,0.37785714285714284,-0.3657142857142857,0.057357142857142863
6,1928-04-01,0.48615384615384616,0.12076923076923077,-0.2130769230769231,0.0726923076923077
7,1928-07-01,0.06923076923076919,0.14769230769230768,0.07769230769230773,0.07215384615384615
8,1928-10-01,0.7684615384615385,-0.06923076923076923,-0.1292307692307692,0.07530769230769231
9,1929-01-01,0.9384615384615385,-0.009230769230769213,-0.031538461538461564,0.06669230769230769
10,1929-04-01,0.38846153846153847,-0.7076923076923076,0.18923076923076923,0.08692307692307691
11,1929-07-01,0.33307692307692316,-0.6746153846153846,-0.25,0.11123076923076923
12,1929-10-01,0.5869230769230769,-0.9523076923076924,0.14076923076923073,0.09176923076923077
13,1930-01-01,-2.7953846153846156,-0.6846153846153845,1.1276923076923078,0.10076923076923078
14,1930-04-01,1.3846153846153846,0.46153846153846156,-0.16384615384615384,0.067
15,1930-07-01,-1.7176923076923079,-0.49,0.1438461538461538,0.06153846153846154
16,1930-10-01,-0.2415384615384616,-0.2738461538461539,-0.39692307692307693,0.04076923076923077
17,1931-01-01,-1.9792307692307693,-0.22615384615384618,-1.1676923076923076,0.03023076923076923
18,1931-04-01,1.1592307692307693,0.553076923076923,0.8184615384615385,0.026769230769230767
19,1931-07-01,-0.5646153846153846,-0.3915384615384615,0.042307692307692366,0.020153846153846154
20,1931-10-01,-2.606923076923077,0.1269230769230769,-0.9215384615384615,0.009923076923076923
21,1932-01-01,-1.8784615384615384,0.15923076923076931,-1.1700000000000002,0.03246153846153846
22,1932-04-01,-0.036923076923077024,0.20461538461538456,0.9215384615384615,0.05246153846153846
23,1932-07-01,-3.1907692307692304,0.44000000000000006,0.3376923076923077,0.01730769230769231
24,1932-10-01,5.026923076923077,0.3853846153846154,3.7684615384615388,0.007230769230769231
25,1933-01-01,-1.2692857142857146,-0.8492857142857143,-2.2721428571428572,0.003928571428571429
26,1933-04-01,-0.4327272727272727,-0.12000000000000006,1.6536363636363633,0.0015454545454545452
27,1933-07-01,4.535384615384616,3.2715384615384617,1.266923076923077,0.014461538461538461
28,1933-10-01,-0.23785714285714304,-0.08928571428571429,-0.15928571428571411,0.004928571428571429
29,1934-01-01,0.3261538461538462,-0.4592307692307693,-0.35999999999999993,0.004076923076923077
30,1934-04-01,0.8061538461538463,1.3453846153846152,1.2761538461538462,0.007461538461538462
31,1934-07-01,-0.42769230769230765,-0.11692307692307694,-0.6646153846153846,0.002
32,1934-10-01,-0.4176923076923077,-0.2907692307692308,-0.9846153846153846,0.0016153846153846155
33,1935-01-01,0.49769230769230766,0.7707692307692308,-0.7269230769230769,0.0026923076923076926
34,1935-04-01,-0.64,-0.08384615384615383,-1.153076923076923,0.003307692307692308
35,1935-07-01,1.406923076923077,-0.6107692307692308,0.5161538461538462,0.003
36,1935-10-01,0.9653846153846154,0.7361538461538462,0.7738461538461539,0.003
37,1936-01-01,1.0307692307692309,0.4623076923076923,0.5507692307692309,0.004153846153846154
38,1936-04-01,0.99,0.5638461538461539,1.1553846153846155,0.003307692307692308
39,1936-07-01,0.027692307692307697,-0.6492307692307692,-0.005384615384615344,0.0052307692307692315
40,1936-10-01,0.6553846153846153,0.2715384615384615,0.5407692307692307,0.0033846153846153844
41,1937-01-01,0.7123076923076923,0.816923076923077,0.2907692307692308,0.002846153846153846
42,1937-04-01,0.32538461538461544,0.32923076923076927,1.1507692307692308,0.0036153846153846154
43,1937-07-01,-0.9107692307692308,-0.5869230769230769,-0.8207692307692308,0.011384615384615384
44,1937-10-01,-1.1384615384615384,-0.6976923076923077,-0.4107692307692308,0.007692307692307693
45,1938-01-01,-1.102857142857143,-0.5521428571428572,-0.06785714285714287,0.0032142857142857142
46,1938-04-01,-1.0758333333333334,0.030833333333333306,-0.7041666666666666,0.0
47,1938-07-01,1.9369230769230772,0.303076923076923,0.054615384615384614,0.0011538461538461537
48,1938-10-01,0.06153846153846159,0.14076923076923073,-0.2984615384615385,0.0014615384615384616
49,1939-01-01,1.2742857142857145,0.3385714285714286,0.5207142857142857,-0.0035
50,1939-04-01,-0.5225,-0.11999999999999995,-0.48583333333333334,-0.0003333333333333333
51,1939-07-01,-0.1292307692307691,0.14615384615384613,-0.5446153846153846,0.0011538461538461537
52,1939-10-01,1.0185714285714285,0.9057142857142856,1.1492857142857142,0.0004285714285714286
53,1940-01-01,-0.08615384615384616,-0.3046153846153846,-1.25,0.001
54,1940-04-01,0.08923076923076922,0.2915384615384615,-0.1453846153846154,0.0
55,1940-07-01,-1.2492307692307691,-0.37692307692307697,0.03384615384615391,-0.0008461538461538461
56,1940-10-01,0.6030769230769231,0.28615384615384615,-0.1469230769230769,0.00015384615384615385
57,1941-01-01,0.11000000000000001,0.0276923076923077,0.3161538461538461,0.0
58,1941-04-01,-0.2992307692307692,0.02846153846153847,0.6346153846153846,-7.692307692307693e-05
59,1941-07-01,0.1684615384615385,-0.11384615384615386,0.4330769230769231,7.692307692307693e-05
60,1941-10-01,0.29999999999999993,0.28846153846153844,0.3807692307692308,0.0035384615384615385
