Date,GD,CL,APD,MTB,CSX,SNPS,HBAN,CDNS,MMM,FDX,EPD,FCX,SHW,KLAC,USB,CCI,MNST,MCO,OXY,HSY,PSA,AAPL,MSFT,AMZN,PFE,PEP,COKE,JNJ,WMT,GS
2003-10-01,45.19499969482422,25.024999618530273,48.87141418457031,98.30000305175781,1.9966670274734497,33.86000061035156,22.5,17.979999542236328,85.02999877929688,67.5,12.274999618530273,21.065000534057617,11.579999923706055,58.540000915527344,29.780000686645508,11.029999732971191,0.0877079963684082,30.274999618530273,20.234256744384766,38.494998931884766,43.38999938964844,0.3816069960594177,27.3700008392334,2.63100004196167,33.51992416381836,46.619998931884766,52.86000061035156,51.65999984741211,53.04999923706055,98.7300033569336
2004-01-01,44.665000915527344,27.549999237060547,46.36447525024414,89.8499984741211,1.682778000831604,28.729999542236328,22.030000686645508,14.739999771118164,81.87000274658203,75.16000366210938,11.734999656677246,19.545000076293945,12.8100004196167,50.279998779296875,27.649999618530273,12.630000114440918,0.14572900533676147,35.400001525878906,22.059364318847656,41.42499923706055,48.65999984741211,0.48285698890686035,24.93000030517578,2.1640000343322754,33.254268646240234,53.849998474121094,51.04999923706055,50.720001220703125,59.689998626708984,104.3499984741211
2004-04-01,49.650001525878906,29.225000381469727,48.51988983154297,87.30000305175781,1.8205560445785522,28.43000030517578,22.979999542236328,14.630000114440918,90.01000213623047,81.69000244140625,10.625,16.575000762939453,13.850000381469727,49.380001068115234,27.559999465942383,14.75,0.2638539969921112,32.33000183105469,23.189876556396484,46.27000045776367,46.0099983215332,0.5810710191726685,28.559999465942383,2.7200000286102295,32.523719787597656,53.880001068115234,57.77000045776367,55.70000076293945,52.5,94.16000366210938
2004-07-01,51.04999923706055,22.59000015258789,50.30527114868164,95.69999694824219,1.8444440364837646,15.760000228881836,24.90999984741211,13.039999961853027,79.97000122070312,85.69000244140625,11.59000015258789,20.25,14.653332710266113,41.47999954223633,28.899999618530273,14.880000114440918,0.2512499988079071,36.625,26.79218864440918,46.709999084472656,49.54999923706055,0.6919639706611633,27.649999618530273,2.0429999828338623,29.032257080078125,48.650001525878906,54.02000045776367,56.33000183105469,53.20000076293945,93.23999786376953
2004-10-01,52.29999923706055,25.579999923706055,53.62627029418945,107.83999633789062,2.2266669273376465,19.549999237060547,24.739999771118164,13.8100004196167,82.06999969482422,98.48999786376953,12.930000305175781,19.114999771118164,14.876667022705078,46.58000183105469,31.31999969482422,16.639999389648438,0.379271000623703,43.42499923706055,27.95623207092285,55.540000915527344,55.75,1.149999976158142,26.719999313354492,2.2144999504089355,25.5123348236084,52.20000076293945,57.04999923706055,63.41999816894531,52.81999969482422,104.04000091552734
2005-01-01,53.525001525878906,26.084999084472656,58.54764175415039,102.05999755859375,2.3138890266418457,18.100000381469727,23.899999618530273,14.949999809265137,85.69000244140625,93.94999694824219,12.850000381469727,19.80500030517578,14.66333293914795,46.0099983215332,28.81999969482422,16.059999465942383,0.6244789958000183,40.43000030517578,34.09261703491211,60.459999084472656,56.939998626708984,1.4882140159606934,24.170000076293945,1.7135000228881836,24.92409896850586,53.029998779296875,52.310001373291016,67.16000366210938,50.11000061035156,109.98999786376953
2005-04-01,54.77000045776367,24.954999923706055,55.78168487548828,105.16000366210938,2.369999885559082,16.670000076293945,24.139999389648438,13.65999984741211,72.30000305175781,81.01000213623047,13.395000457763672,18.719999313354492,15.696666717529297,43.68000030517578,29.200000762939453,20.31999969482422,0.8824999928474426,44.959999084472656,36.85183334350586,62.099998474121094,63.25,1.3146430253982544,24.84000015258789,1.6545000076293945,26.166982650756836,53.93000030517578,50.540000915527344,65.0,48.20000076293945,102.0199966430664
2005-07-01,59.775001525878906,26.395000457763672,51.00832748413086,105.70999908447266,2.5822219848632812,18.899999618530273,22.469999313354492,16.15999984741211,73.36000061035156,87.12999725341797,12.59000015258789,24.295000076293945,14.6899995803833,48.7599983215332,28.079999923706055,24.6299991607666,0.9808329939842224,51.08000183105469,40.9235954284668,56.310001373291016,67.0,1.9146430492401123,25.729999542236328,2.265000104904175,23.690702438354492,56.709999084472656,48.939998626708984,63.279998779296875,43.81999969482422,121.58000183105469
2005-10-01,57.025001525878906,27.424999237060547,54.75485610961914,109.05000305175781,2.8205559253692627,20.059999465942383,23.75,16.920000076293945,77.5,103.38999938964844,12.005000114440918,26.899999618530273,15.140000343322754,49.33000183105469,29.889999389648438,26.90999984741211,1.6418750286102295,61.41999816894531,38.26497268676758,55.25,67.72000122070312,2.567500114440918,26.149999618530273,2.3575000762939453,22.12523651123047,59.08000183105469,43.0,60.099998474121094,46.79999923706055,127.70999908447266
2006-01-01,63.97999954223633,28.549999237060547,62.15541076660156,114.13999938964844,3.3222219944000244,22.350000381469727,24.1299991607666,18.489999771118164,75.69000244140625,112.94000244140625,12.345000267028809,29.885000228881836,16.479999542236328,48.36000061035156,30.5,28.350000381469727,2.626041889190674,71.45999908447266,44.38219451904297,52.22999954223633,81.2300033569336,2.240000009536743,27.209999084472656,1.8265000581741333,23.643264770507812,57.790000915527344,46.0,59.220001220703125,47.2400016784668,156.9600067138672
