Date,Returns
2015-01-09,-1.6116808648521577
2015-01-16,1.7488176535402664
2015-01-23,-1.0290923978853233
2015-01-30,2.3459787489737667
2015-02-06,1.621306251365757
2015-02-13,2.1743393361497008
2015-02-20,0.9797852822826052
2015-02-27,-0.8113050877985923
2015-03-06,-2.5652673002968456
2015-03-13,2.5555272727443996
2015-03-20,-1.87098926281245
2015-03-27,0.7716054654072169
2015-04-03,0.8583216033504625
2015-04-10,0.8566443022458412
2015-04-17,0.90991411995334
2015-04-24,-0.13006225650273695
2015-05-01,-0.7234221267976622
2015-05-08,0.6854199431257098
2015-05-15,0.9399332478938541
2015-05-22,-0.2901118222441838
2015-05-29,0.05415785538890925
2015-06-05,0.4665065894290133
2015-06-12,0.4206234466869363
2015-06-19,-0.19854430471563583
2015-06-26,-1.7417475273746046
2015-07-03,-2.182790573819172
2015-07-10,3.154862246922955
2015-07-17,-0.5103956464818198
2015-07-24,0.08986110931660546
2015-07-31,-0.15193455203224654
2015-08-07,-1.0903224055174974
2015-08-14,-0.09187119515633366
2015-08-21,-7.730037076948314
2015-08-28,1.024305240223911
2015-09-04,0.863855654168024
2015-09-11,1.6685002159888918
2015-09-18,-3.5996586861843975
2015-09-25,-0.8758062787818703
2015-10-02,5.266337699335071
2015-10-09,-2.0061571038539863
2015-10-16,0.3002531375897092
2015-10-23,2.7832067777801788
2015-10-30,0.6961247140975457
2015-11-06,-0.3408708583063904
2015-11-13,0.6659073832012122
2015-11-20,0.9019555511730816
2015-11-27,-0.5352295808839069
2015-12-04,-3.6983110678231026
2015-12-11,0.3417018615544613
2015-12-18,0.5619439114801568
2015-12-25,-0.4977067606652945
2016-01-01,-4.474863118009816
2016-01-08,-7.351089049493162
2016-01-15,-1.9514032646631618
2016-01-22,1.577553330347419
2016-01-29,2.409277604317995
2016-02-05,-4.548707691707386
2016-02-12,6.662598662789556
2016-02-19,0.741623993255422
2016-02-26,4.020687836688424
2016-03-04,-0.1156984294300068
2016-03-11,2.4288172530741883
2016-03-18,0.5141885014280182
2016-03-25,1.442798304446859
2016-04-01,-0.1606029788492114
2016-04-08,1.5189022011727635
2016-04-15,2.0599562191252727
2016-04-22,1.1663007790519924
2016-04-29,-2.343425889277152
2016-05-06,1.1381279700270814
2016-05-13,-0.2852052221962569
2016-05-20,2.5807693699392598
2016-05-27,0.0010492603728987776
2016-06-03,1.252067933304132
2016-06-10,-2.7133892507246538
2016-06-17,0.43426735573188946
2016-06-24,-1.762003150530451
2016-07-01,1.0673818260561174
2016-07-08,4.376637345256293
2016-07-15,1.1368302887435915
2016-07-22,-0.0854075150268026
2016-07-29,-0.3213465521312142
2016-08-05,0.7007902994565802
2016-08-12,1.0925510305625938
2016-08-19,-0.0655670727159294
2016-08-26,-0.09638241480322413
2016-09-02,1.4435002933257077
2016-09-09,-3.237375199629671
2016-09-16,2.266802899934053
2016-09-23,0.5678914644405519
2016-09-30,-0.6753257258590211
2016-10-07,-1.5360392521987831
2016-10-14,0.057038021863026936
2016-10-21,0.17894817567677457
2016-10-28,-1.40042232348018
2016-11-04,3.714494854284424
2016-11-11,0.7346154026186036
2016-11-18,2.437137014899792
2016-11-25,-0.32246077715492083
2016-12-02,1.9834885659021615
2016-12-09,-0.6183417291092919
2016-12-16,0.40191808465872336
2016-12-23,-0.589758829926689
2016-12-30,1.767059080639709
2017-01-06,0.9148924196370649
2017-01-13,-0.49775490395388716
2017-01-20,3.446960006789916
2017-01-27,-0.27178826303537784
2017-02-03,1.7756803484656394
2017-02-10,2.0662892413836214
2017-02-17,1.1165153848978087
2017-02-24,0.1842684702379119
2017-03-03,-1.3161665907050035
2017-03-10,0.8968272461774014
2017-03-17,-1.1785682028170439
2017-03-24,0.49023000673320777
2017-03-31,-0.3148689154821975
2017-04-07,-0.03994243224452517
2017-04-14,-0.04438412369162906
2017-04-21,2.6511818227625543
2017-04-28,-0.7098342276924758
2017-05-05,1.169441193263688
2017-05-12,-1.291707364018689
2017-05-19,3.1675123008285118
2017-05-26,0.299507642503564
2017-06-02,1.6969267746647565
2017-06-09,-0.6110788649141256
2017-06-16,-0.3632114353574378
2017-06-23,0.5095789752751826
2017-06-30,-0.7206383877763144
2017-07-07,1.4519183735047352
2017-07-14,1.287153484175726
2017-07-21,0.39635003007849756
2017-07-28,-1.438908804116174
2017-08-04,0.06110930371450307
2017-08-11,0.3005006095353798
2017-08-18,-0.2944041364894568
2017-08-25,0.9307115073512295
2017-09-01,0.5234318853265764
2017-09-08,1.1615413398321601
2017-09-15,1.1653558546850913
2017-09-22,0.2391227336247293
2017-09-29,1.1449615894428544
2017-10-06,1.1954417241946609
2017-10-13,-0.19460113576769844
2017-10-20,-0.10807250466330354
2017-10-27,0.08059693566229523
2017-11-03,1.6074894538786066
2017-11-10,-1.2747710196626703
2017-11-17,1.9103641272156897
2017-11-24,0.558147154302145
2017-12-01,0.3570708521682324
2017-12-08,2.2189040662654818
2017-12-15,1.0777925219525448
2017-12-22,0.3493198562360896
2017-12-29,1.3822482313285789
2018-01-05,1.4659095683561003
2018-01-12,1.7330941447640538
2018-01-19,1.8070337303843578
2018-01-26,-0.7395715820277002
2018-02-02,-5.282874793959049
2018-02-09,1.9608571405771917
2018-02-16,-0.4933114397694171
2018-02-23,0.5561062863840498
2018-03-02,0.9182974071808107
2018-03-09,0.9974140094828605
2018-03-16,-0.991297094857359
2018-03-23,-4.558917102767413
2018-03-30,2.0172032208318456
2018-04-06,-0.44526786046480193
2018-04-13,3.2641824519793454
2018-04-20,-2.859182513911993
