,Date,Returns,SP50_L,SP50_C,VIX_L,VIX_C,RUSSEL_L,RUSSEL_C,US CPI Q %,US wholesale Q%,US_LT_INT,US_SR_INT,US_UNEMP_L,US_RT_IND_C,US_INDPROD_C,US_HSTART_C,US_EXP_C,US_IMP_C,US_BUD_BAL_PCT_GDP,US_DEBT_L,US_DEBT_C,US_EXP_L,US_IMP_L,US_RTL_IND_L,US_FX_RS_L,US_HS_STARTS_L,Bentoil_L,NDAQ_L,Mkt-RF,SMB,HML,RF
0,2000-04-01,-4.024573772887438,1498.58,1.9962565935000898,24.11,-2.1509740259740284,1341.372437,6.793961331033915,0.98951685,1.1372113,6.4684143,5.704604,4.0,2.3234475,0.99588436,0.2618881,2.9192605,5.4575863,0.5946405,5801.5444,-0.059682939337390994,752.348,1155.908,80.33397,59.741055,1659000.0,23.98,,0.23230769230769227,0.7200000000000002,-0.24000000000000002,0.10992307692307693
1,2000-07-01,2.2679758171908007,1454.6,-2.934778256749726,19.54,-18.954790543343016,1286.389893,-4.098976725880044,0.7838483,0.7088688,6.1849194,5.8960314,3.9,-0.027285159,1.2261126,-4.360059,2.8476117,4.4761343,0.37412226,5714.2153,-1.505273319980105,773.772,1207.648,80.31205,56.90912,1586666.6,31.58,,-0.36769230769230765,0.06384615384615379,0.2715384615384615,0.11223076923076923
2,2000-10-01,2.7501722355362874,1436.51,-1.24364086346761,20.57,5.271238485158647,1295.99585,0.7467375989403946,0.9138644,0.75243366,5.8898406,6.2020636,4.0,0.8642342,-0.07921636,-5.2310925,3.9251885,3.8084002,0.3065177,5701.85,-0.21639541653251104,804.144,1253.64,81.006134,55.21026,1503666.6,28.42,,-0.08769230769230775,-0.4276923076923077,1.09,0.12453846153846154
3,2001-01-01,-1.2442934330965625,1320.28,-8.091137548642202,26.85,30.529897909577052,1201.823608,-7.266399965709769,0.71290916,1.2286124,5.574603,6.200793,3.9,0.75289834,-0.2725435,2.682335,-0.8376562,0.09954411,-0.0073305746,5689.593,-0.21496531827390752,797.408,1254.888,81.61603,56.60038,1544000.0,22.58,,-0.9546153846153846,-0.506923076923077,1.9769230769230768,0.1306153846153846
4,2001-04-01,8.328060315435293,1160.33,-12.114854424818978,28.64,6.666666666666665,1119.69751,-6.833456877808308,0.9565685,1.0947216,5.0441937,4.9333863,4.2,0.46209535,-1.2300048,3.9507773,-1.5144129,-1.9281341,-0.35467216,5800.558,1.9503152510205846,785.332,1230.692,81.99317,53.17533,1605000.0,23.5,,-1.1084615384615384,0.44999999999999996,1.1353846153846154,0.11015384615384614
5,2001-07-01,-7.8670333793636855,1224.42,5.523428679772158,19.06,-33.44972067039107,1275.043579,13.873931808600704,0.7011557,0.30603117,5.2761903,3.7406344,4.4,1.1005945,-1.2688844,1.5576324,-4.4078135,-6.299224,-1.1025192,5753.914,-0.8041295337448573,750.716,1153.168,82.895584,53.80329,1630000.0,26.21,,0.5253846153846153,0.7276923076923077,-0.22615384615384612,0.082
6,2001-10-01,17.417782071824057,1040.94,-14.98505414808644,31.93,67.52360965372507,1006.344421,-21.07372347310177,0.28227904,-0.93875366,5.008983,3.3037283,4.8,-0.86400825,-1.3769565,-1.8609432,-6.584648,-3.8454063,-3.2577786,5834.474,1.400090442783819,701.284,1108.824,82.17936,59.902164,1599666.6,21.87,,-1.320769230769231,-0.6492307692307692,0.7369230769230769,0.07392307692307692
7,2002-01-01,7.12509513645529,1148.08,10.292620131803943,23.8,-25.46194801127466,1214.099518,20.644532097028435,-0.07506141,-1.5636103,4.7517166,1.9515624,5.5,3.6519628,-1.0943136,-1.8545505,-3.167904,-3.3830404,-2.873355,5970.2676,2.327435172390868,679.068,1071.312,85.18052,57.633675,1570000.0,19.35,,0.9676923076923077,0.8653846153846152,-0.41384615384615386,0.045538461538461535
8,2002-04-01,-7.196512552789705,1147.3865,-0.06040519824401791,17.4,-26.890756302521012,1258.600596,3.665356697720057,0.31924644,-0.24067566,5.079168,1.7543327,5.7,-1.7866092,0.7387206,9.745223,-1.28765,1.717887,-4.8207264,6032.4106,1.040874616742471,670.324,1089.716,83.658676,56.52939,1723000.0,25.34,,-0.03692307692307694,0.3261538461538462,0.583076923076923,0.03330769230769231
9,2002-07-01,-13.22144230140173,989.81433,-13.733137874639457,25.4,45.977011494252885,1149.832197,-8.642010765423159,0.7862101,0.33775368,5.1060934,1.7462496,5.8,0.9929496,1.5443089,-1.8572258,4.3746066,6.528678,-5.2534113,6153.295,2.003915317037608,699.648,1160.86,84.489365,63.652252,1691000.0,25.33,3.1166668,-1.0653846153846154,0.5469230769230768,0.4330769230769231,0.03538461538461538
10,2002-10-01,10.559647454195435,815.28467,-17.632565493368844,39.69,56.25984251968503,900.452725,-21.688336145974173,0.53864855,0.1442631,4.272344,1.6737503,5.7,1.2515858,0.6170274,0.3745343,1.1600071,2.090525,-5.3815536,6255.4053,1.6594409986844472,707.764,1185.128,85.54682,64.81805,1697333.4,29.11,3.3333335,-1.2961538461538462,-0.5946153846153845,0.07692307692307694,0.036538461538461534
11,2003-01-01,0.5210459207912986,879.8191,7.915570152938112,28.62,-27.89115646258503,952.094453,5.735084870779872,0.5911645,0.76830626,3.999688,1.3670316,5.8,0.38214386,-0.051319424,1.904944,-1.8486367,2.0784216,-5.9413548,6432.9814,2.8387625019277163,694.68,1209.76,85.87373,67.96242,1729666.6,30.12,2.3166666,0.4623076923076923,0.1630769230769231,-0.29846153846153844,0.03023076923076923
12,2003-04-01,15.402948963191422,848.1793,-3.596171076531529,29.15,1.8518518518518379,905.996482,-4.841743469332027,1.0284642,1.9299569,3.9199998,1.174754,5.9,0.8575433,0.6257063,0.3661616,1.3364422,2.2824311,-6.2843204,6487.656,0.8499107427856201,703.964,1237.372,86.61014,69.00626,1736000.0,28.05,2.6833334,-0.05384615384615386,-0.002307692307692327,-0.28923076923076924,0.023692307692307693
13,2003-07-01,6.993766837111121,974.5009,14.893266081829637,19.52,-33.03602058319039,1114.297669,22.99139026899666,-0.1636035,-0.23375583,3.6206343,1.0588892,6.2,0.84147835,-0.744127,1.0176626,0.8398139,-0.050747044,-6.6013656,6696.5264,3.219504856607691,709.876,1236.744,87.33894,70.61656,1753666.6,28.88,2.6833334,1.0707692307692307,0.5846153846153845,0.11461538461538459,0.02353846153846154
14,2003-10-01,13.110420114783677,995.96533,2.202607509136212,22.72,16.393442622950815,1212.026905,8.770478366674194,0.7465406,0.8669205,4.2276554,0.9478124,6.1,2.831462,0.663733,7.75518,1.9372418,1.16661,-6.972327,6809.183,1.6823139829628797,723.628,1251.172,89.81191,73.38909,1889666.6,28.09,3.15,0.2569230769230769,0.6153846153846154,0.036153846153846175,0.01823076923076923
15,2004-01-01,2.783316870274316,1111.9158,11.642018703602863,18.31,-19.410211267605636,1384.08502,14.195898976351518,0.37953904,0.9291424,4.288438,0.93546873,5.8,0.35360694,0.96679825,7.7262306,5.249664,4.1580253,-6.0709205,7022.392,3.1311979719152783,761.616,1303.196,90.12949,74.89407,2035666.6,30.3,2.8666668,0.7892307692307692,0.24076923076923076,0.3823076923076923,0.018615384615384614
16,2004-04-01,6.330347677537064,1126.2115,1.2856818834663386,16.74,-8.574549426542877,1467.099154,5.997762622992631,0.8462378,0.7825178,4.0100026,0.93370974,5.7,1.8515078,0.7061684,-5.7638736,3.476286,5.446917,-6.3354836,7155.263,1.8921045706363326,788.092,1374.18,91.79825,74.14663,1918333.4,32.29,2.1000001,0.14,0.05076923076923079,0.2907692307692308,0.01823076923076923
17,2004-07-01,-1.117116865663636,1140.8356,1.298521636477723,14.34,-14.336917562724006,1470.119267,0.20585609307768316,0.7855785,1.3930069,4.597098,1.096129,5.6,1.097216,0.57919735,0.9904431,3.0138633,5.8283424,-5.9854703,7298.5566,2.0026321883626075,811.844,1454.272,92.80547,71.60808,1937333.4,33.22,2.3000002,0.19615384615384615,0.09769230769230768,-0.15615384615384617,0.018769230769230767
18,2004-10-01,11.441654744708092,1114.5831,-2.301164164231906,13.34,-6.973500697350065,1423.929103,-3.14193310956723,0.6377282,0.36036786,4.301407,1.5139067,5.4,1.5316751,0.5620742,2.0474856,1.7451667,2.2100415,-5.6950474,7403.2354,1.4342397509118365,826.012,1486.412,94.22695,71.53483,1977000.0,47.76,3.4,-0.1723076923076923,-0.20076923076923078,0.3376923076923077,0.02676923076923077
19,2005-01-01,2.7854428646101557,1211.9163,8.732700145911053,13.29,-0.37481259370315545,1619.344265,13.723658122324366,1.0737568,2.0421822,4.176562,2.0426562,5.4,2.6043286,1.4181771,-0.5901176,2.800926,5.21632,-5.3918934,7620.4043,2.933432320685103,849.148,1563.948,96.68093,75.889984,1965333.4,40.38,3.5666666,0.7028571428571428,0.32142857142857145,0.07928571428571428,0.03578571428571429
20,2005-04-01,1.1166486853651287,1180.591,-2.5847742125425843,14.02,5.492851768246809,1528.64824,-5.6007871186056875,0.50504947,0.7917336,4.3036084,2.5891795,5.3,0.8423739,1.3941584,5.41045,2.3731997,1.7650206,-4.633232,7801.016,2.3701065309618796,869.3,1591.552,97.495346,67.90109,2071666.8,53.22,6.286667,-0.28583333333333333,-0.2275,0.43249999999999994,0.045000000000000005
21,2005-07-01,7.148988155312153,1191.3276,0.9094258722961879,12.04,-14.122681883024256,1589.75218,3.997253154852687,0.6758005,0.80732733,4.158593,2.9267194,5.1,1.9992003,0.5627264,-0.9815044,4.337744,3.1466115,-4.506411,7860.2344,0.7591113772872804,907.008,1641.632,99.44447,65.5525,2051333.3,55.36,8.450001,0.15076923076923074,-0.08615384615384618,0.19692307692307692,0.055615384615384615
22,2005-10-01,6.60963412533041,1228.8114,3.146388952963064,11.92,-0.9966777408637828,1659.68523,4.398990665324964,1.514623,1.7532454,4.2151566,3.438281,5.0,1.9327339,-0.42543033,2.3724449,-0.15567528,2.476077,-4.8525176,7956.3467,1.222766333787706,905.596,1682.28,101.36647,60.2323,2100000.0,61.7,11.726667,0.24000000000000002,0.19214285714285714,0.09499999999999999,0.06785714285714285
23,2006-01-01,7.307845467782988,1248.293,1.5854019583477097,12.07,1.2583892617449743,1673.15777,0.811752720122727,0.9325135,1.8506818,4.486985,3.9099991,5.0,0.32282862,0.9128837,-1.4920595,4.020338,5.711294,-4.1922426,8194.252,2.990132393300571,942.004,1778.36,101.69371,54.083714,2068666.8,58.34,13.346667,0.09999999999999995,-0.04923076923076924,-0.04923076923076922,0.07530769230769231
24,2006-04-01,1.1207218094261309,1294.8279,3.7278827967472505,11.39,-5.633802816901401,1901.60232,13.653497243120105,0.52074504,-0.06265934,4.5767713,4.506305,4.7,2.7882547,0.95438623,2.4975748,4.1987085,1.7283318,-3.594376,8394.74,2.446690680247565,981.556,1809.096,104.52919,54.310825,2120333.3,66.06,9.966667,0.32,0.6276923076923077,0.09461538461538462,0.088
25,2006-07-01,4.748143294370515,1270.2043,-1.9016890198303549,13.08,14.83757682177349,1801.03368,-5.288626278074792,0.90241164,0.85684395,5.0627103,4.82681,4.7,0.43087107,0.5858873,-12.513752,3.595919,2.0516374,-3.5015793,8443.683,0.5830198433781186,1016.852,1846.212,104.979576,56.892914,1855000.0,73.2,10.08,-0.24461538461538465,-0.3469230769230769,0.42615384615384616,0.09869230769230769
26,2006-10-01,5.873771066157936,1335.847,5.167885197680389,11.98,-8.409785932721714,1803.32709,0.12733854038753378,0.9440155,0.14504652,4.8963575,5.036342,4.6,0.5400337,0.40041167,-8.230007,1.7072344,2.6930802,-3.4728296,8530.366,1.02660178028946,1034.212,1895.932,105.5465,55.17596,1702333.4,59.09,10.263334,0.24230769230769234,-0.3130769230769231,0.04461538461538461,0.10200000000000001
27,2007-01-01,1.806899352567037,1418.3005,6.172376028093041,11.56,-3.5058430717863076,1957.588259,8.554253405021495,-0.41017094,-0.7241822,4.625232,5.029047,4.5,0.0108933,0.24283376,-7.773646,3.5818522,-1.6570224,-3.1731339,8703.738,2.03240986377371,1071.256,1864.516,105.558,54.853874,1570000.0,58.96,9.803333,0.4369230769230769,0.09923076923076922,0.19384615384615383,0.10253846153846154
28,2007-04-01,6.349167249733977,1420.8638,0.18073038823578358,14.64,26.643598615916964,1990.013549,1.6563896851610638,0.9803964,1.6465085,4.676431,5.1098056,4.5,1.3201141,1.0231847,-6.921441,1.8075992,1.4532496,-3.6988034,8872.851,1.9429927693136229,1090.62,1891.612,106.951485,55.50957,1461333.4,68.47,9.903334,0.019230769230769232,0.12384615384615384,-0.14307692307692307,0.10446153846153847
29,2007-07-01,4.990649121607858,1503.3486,5.80525733712125,16.23,10.860655737704917,2072.001669,4.119977979104705,1.1325585,1.9889331,4.8455772,4.8553834,4.5,0.9257227,1.1541936,-0.7071196,3.5180027,2.3131583,-3.717782,8890.837,0.20270823887382772,1128.988,1935.368,107.94156,55.08599,1451000.0,72.22,12.56,0.35615384615384615,-0.08846153846153847,-0.23846153846153847,0.1026923076923077
30,2007-10-01,-2.9930822122403336,1526.7467,1.556398828588379,18.0,10.905730129390022,2001.746565,-3.3906876162849375,0.63300526,0.6835481,4.73384,4.433359,4.7,0.71519774,0.08337764,-11.164714,3.239363,1.687328,-4.2918906,9030.612,1.5721241993301494,1165.56,1968.024,108.713554,58.02933,1289000.0,80.97,16.496668,0.03692307692307693,-0.37846153846153846,-0.6038461538461538,0.09538461538461539
31,2008-01-01,-7.813590047689987,1468.3552,-3.8245702446908836,22.5,25.0,1903.794789,-4.893315553160438,1.2266524,2.5159833,4.2667136,3.4944036,4.8,1.2873752,0.32183522,-9.542281,3.60856,3.293656,-4.630787,9252.318,2.4550495581030507,1207.62,2032.844,110.113106,59.524235,1166000.0,93.68,12.886667,-0.2384615384615385,-0.20461538461538462,-0.37615384615384617,0.07823076923076924
32,2008-04-01,-3.8717418573991624,1322.7035,-9.919377818119202,25.61,13.822222222222225,1709.771995,-10.191371208758992,1.0831876,1.791969,3.6587286,2.1031232,5.0,-0.7550816,-0.24798016,-8.747855,5.307626,4.294082,-5.2318225,9461.058,2.256083286372146,1271.716,2120.136,109.28166,64.723076,1064000.0,102.33,8.85,-0.8676923076923077,-0.06076923076923077,0.2946153846153846,0.04253846153846153
33,2008-07-01,-2.63605623286806,1280.0012,-3.2284105999568435,23.95,-6.481843030066381,1713.975559,0.24585523755755734,1.3009377,2.4684312,3.8656669,1.6538628,5.3,0.3884174,-1.5075217,-5.0125294,5.9969397,4.4283924,-7.5794272,9515.533,0.5757812709741295,1347.98,2214.024,109.70613,64.69862,1010666.7,138.4,10.190001,-0.1123076923076923,0.29,-0.3807692307692308,0.044076923076923076
34,2008-10-01,-21.090759779771258,1166.3615,-8.878093239287587,39.39,64.4676409185804,1688.935748,-1.460919957027218,1.5418772,2.352936,3.8479247,1.5199609,6.0,-1.1810992,-3.296642,-14.676785,1.3961682,0.527907,-7.2553864,10047.829,5.593969355158568,1366.8,2225.712,108.41039,60.792973,862333.3,93.52,8.236667,-0.38923076923076927,0.2561538461538462,1.0799999999999998,0.03569230769230769
35,2009-01-01,-3.85023431508486,903.254921,-22.5578929860082,40.0,1.5486164001015545,1241.266038,-26.50602372115817,-2.2901974,-4.962591,3.2270644,0.303817,6.9,-8.904684,-4.2749705,-23.115576,-14.89114,-16.669718,-9.827516,10723.157,6.721133490627662,1163.268,1854.692,98.75679,66.60701,663000.0,35.82,6.5266666,-2.140769230769231,-0.22692307692307695,-0.6315384615384615,0.009846153846153846
36,2009-04-01,21.435880501769233,797.866805,-11.667593892909434,44.14,10.349999999999993,1050.635366,-15.357761041070228,-0.6878605,-1.9965483,2.7105284,0.211382,8.3,-2.3712766,-5.6362247,-20.713924,-13.237187,-19.631508,-12.692976,11149.495,3.9758627053581463,1009.284,1490.588,96.41499,63.91651,525666.7,46.13,7.1033335,-0.2215384615384616,-0.08153846153846155,-0.7423076923076922,0.0021538461538461538
37,2009-07-01,16.06374192971806,919.323942,15.222733448598614,26.35,-40.303579519710006,1263.207425,20.232714972208555,0.5317636,0.646425,3.298211,0.17138411,9.3,0.414131,-2.7670038,1.648692,-0.6717602,-2.2734694,-13.836577,11567.551,3.749550988632211,1002.504,1456.7,96.81428,70.447556,534333.3,68.11,7.0166664,1.0338461538461539,0.54,0.0838461538461538,0.0019230769230769232
38,2009-10-01,7.609555029824925,1057.07855797534,14.984338999771186,25.61,-2.8083491461100674,1501.782333,18.886439651825192,0.8603798,0.9925983,3.4995265,0.1626531,9.6,2.3057704,1.697776,10.106051,6.200465,8.969868,-13.364355,11933.032,3.15953653456984,1064.664,1587.364,99.04659,123.25493,588333.3,65.82,6.6066666,1.083846153846154,0.20999999999999996,0.9907692307692307,0.0026923076923076926
39,2010-01-01,7.122941068528666,1115.10268063073,5.489102225905107,21.68,-15.345568137446309,1554.249614,3.4936674807720003,0.7829396,1.7537167,3.4480195,0.06076562,9.9,0.699348,1.554001,-3.5127409,7.8004045,7.3382044,-12.974948,12334.847,3.367249832230401,1147.712,1703.848,99.73927,119.71887,567666.7,77.91,7.0400004,0.5064285714285715,-0.07142857142857144,-0.24071428571428574,0.0007142857142857143
40,2010-04-01,-10.165940314011376,1169.43119269817,4.8720636234781844,17.59,-18.86531365313653,1686.599096,8.515329893464575,0.1584906,1.420455,3.7033136,0.11065081,9.8,1.447928,1.9044294,8.866702,5.039238,5.950763,-13.215445,12796.707,3.744351267591739,1205.548,1805.24,101.183426,116.4797,618000.0,80.37,5.926667,0.5025000000000001,0.30250000000000005,0.5,0.001
41,2010-07-01,13.902470622830652,1030.71008330309,-11.86227203970981,34.54,96.36156907333712,1514.72615,-10.190503861149935,-0.035261113,0.112036325,3.4716473,0.14819838,9.7,1.7431799,1.945681,-2.588997,3.656759,5.0355663,-13.11602,13225.646,3.3519482785688615,1249.632,1896.144,102.947235,113.472984,602000.0,74.94,6.476667,-0.5084615384615385,0.29923076923076924,-0.1469230769230769,0.003
42,2010-10-01,9.963763556176083,1141.20115690593,10.719898387794192,23.7,-31.383902721482336,1680.375508,10.935927791304056,0.2931441,0.37307417,2.7677257,0.1558359,9.5,0.40724793,1.3273426,-3.7098527,3.2009428,2.951463,-12.086795,13585.597,2.7216137495287507,1289.632,1952.108,103.366486,122.058,579666.7,80.77,7.91,0.5615384615384615,-0.1338461538461539,-0.43076923076923074,0.0033846153846153844
43,2011-01-01,5.522593422184173,1257.63598797798,10.202831496222164,17.75,-25.105485232067505,1947.561056,15.90034767395574,0.80972695,1.8398066,2.8484092,0.13969375,9.5,2.9842303,0.420454,-6.44049,6.166726,2.552723,-11.635455,14049.381,3.4137918267412193,1369.16,2001.94,106.45118,121.39181,542333.3,93.23,8.613334,0.7757142857142858,0.4907142857142857,-0.00928571428571427,0.003
44,2011-04-01,2.143702412151153,1325.82671751112,5.4221356724036385,17.74,-0.05633802816902289,2096.430461,7.643888983165215,1.0672256,2.4817548,3.4434733,0.13074192,9.0,2.3909879,0.53907216,7.3755383,3.9057488,6.7328734,-11.275672,14294.58,1.7452655031563458,1422.636,2136.728,108.996414,128.27351,582333.3,116.94,8.433333,0.41250000000000003,0.0375,0.05916666666666668,0.0023333333333333335
45,2011-07-01,-12.349396289897111,1320.63904926284,-0.3912779988336945,16.52,-6.877113866967299,2056.36922,-1.910926298070037,1.1369982,1.9942989,3.1885986,0.044858724,9.1,1.5730228,0.39494956,-1.3737837,3.834572,3.2928786,-11.336877,14367.592,0.5107670179886448,1477.188,2207.088,110.71095,136.61877,574333.3,111.71,7.713333,-0.2276923076923077,0.04692307692307695,-0.43076923076923074,0.0006923076923076924
46,2011-10-01,11.653295077165943,1131.4203600833,-14.327812681683072,42.96,160.04842615012106,1600.888822,-22.149738168129176,0.65207374,0.47137034,2.397719,0.025360936,9.0,0.83431953,1.1160384,7.835171,2.2572615,0.9958926,-10.962136,14815.328,3.1162911641700264,1510.532,2229.068,111.634636,137.44556,619333.3,105.42,8.17,-0.797142857142857,-0.5742857142857142,-0.39142857142857146,0.0002142857142857143
47,2012-01-01,13.046471805122371,1257.60480453436,11.152746485998332,23.4,-45.53072625698324,1841.363205,15.021304396364886,0.4489085,0.43440497,2.036369,0.016379375,8.7,1.6919358,1.0397817,8.449953,0.6050858,1.3397423,-10.761274,15248.214,2.9218792861015253,1519.672,2258.932,113.52342,136.91223,671666.7,108.09,8.633333,0.9292307692307692,0.19461538461538463,0.10692307692307693,0.0
48,2012-04-01,0.2874004545951488,1408.46786041942,11.99606230360406,15.5,-33.760683760683754,2063.50797,12.064147062176133,0.5631652,0.5882298,2.0272481,0.07089519,8.3,2.1112933,1.0046959,5.3101673,0.9814804,1.7990217,-9.750202,15606.518,2.3498096236057586,1534.5873,2299.5706,115.920235,138.0368,707333.3,123.41,7.556667,0.9561538461538461,-0.024615384615384612,0.04923076923076923,0.0006923076923076924
